________________________________"","Team","Home/Away","Session","Bonus","Total"
"1","Sri Lanka","16","20","4","40"
"2","Bangladesh","0","6","0","6"


"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Hrecord","W","W","W","L","T","W","W","T","W","T","W","T","W"

"","Hrecord","Freq"
"1","L",1
"2","T",4
"3","W",8
________________________________

"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Arecord","L","L","L","W","T","L","L","T","L","T","L","T","L"

"","Arecord","Freq"
"1","L",8
"2","T",4
"3","W",1
________________________________